P_left,P_right,beta_left,vx_left,vx_right,floor_count,completed,max_iterations_seen,min_pressure_seen,step_count
0.05,0.005,0.064,-0.9,-0.9,0,1,6,0.00356907,200
0.05,0.005,0.064,-0.9,-0.5,0,1,5,0.00319227,341
0.05,0.005,0.064,-0.9,0,0,1,5,0.00326847,417
0.05,0.005,0.064,-0.9,0.5,0,1,5,0.00132563,397
0.05,0.005,0.064,-0.9,0.9,0,0,6,0.005,100001
0.05,0.005,0.064,-0.9,0.99,0,0,6,0.005,100001
0.05,0.005,0.064,-0.5,-0.9,0,1,6,0.005,247
0.05,0.005,0.064,-0.5,-0.5,0,1,5,0.00275494,217
0.05,0.005,0.064,-0.5,0,0,1,5,0.00491571,233
0.05,0.005,0.064,-0.5,0.5,0,1,5,0.00498426,378
0.05,0.005,0.064,-0.5,0.9,0,0,6,0.005,100001
0.05,0.005,0.064,-0.5,0.99,0,0,6,0.005,100001
0.05,0.005,0.064,0,-0.9,0,1,6,0.005,340
0.05,0.005,0.064,0,-0.5,0,1,5,0.00379042,253
0.05,0.005,0.064,0,0,0,1,5,0.00491244,234
0.05,0.005,0.064,0,0.5,0,1,5,0.00498502,439
0.05,0.005,0.064,0,0.9,0,0,6,0.005,100001
0.05,0.005,0.064,0,0.99,0,0,6,0.005,100001
0.05,0.005,0.064,0.5,-0.9,0,1,6,0.005,392
0.05,0.005,0.064,0.5,-0.5,0,1,5,0.005,278
0.05,0.005,0.064,0.5,0,0,1,5,0.0049053,306
0.05,0.005,0.064,0.5,0.5,0,1,5,0.00498535,466
0.05,0.005,0.064,0.5,0.9,0,0,6,0.005,100001
0.05,0.005,0.064,0.5,0.99,0,0,6,0.005,100001
0.05,0.005,0.064,0.9,-0.9,0,1,6,0.005,411
0.05,0.005,0.064,0.9,-0.5,0,1,5,0.005,628
0.05,0.005,0.064,0.9,0,0,1,5,0.005,1348
0.05,0.005,0.064,0.9,0.5,0,1,5,0.005,821
0.05,0.005,0.064,0.9,0.9,0,1,6,0.005,236
0.05,0.005,0.064,0.9,0.99,0,1,8,0.005,200
0.05,0.005,0.064,0.99,-0.9,0,1,6,0.005,564
0.05,0.005,0.064,0.99,-0.5,0,0,6,0.005,100001
0.05,0.005,0.064,0.99,0,0,0,6,0.005,100001
0.05,0.005,0.064,0.99,0.5,0,0,6,0.005,100001
0.05,0.005,0.064,0.99,0.9,0,0,6,0.005,100001
0.05,0.005,0.064,0.99,0.99,0,1,9,0.005,200
0.025,0.0025,0.032,-0.9,-0.9,0,1,6,0.00180394,200
0.025,0.0025,0.032,-0.9,-0.5,0,1,5,0.00209919,331
0.025,0.0025,0.032,-0.9,0,0,1,5,0.00248395,417
0.025,0.0025,0.032,-0.9,0.5,0,1,5,0.00110972,398
0.025,0.0025,0.032,-0.9,0.9,0,0,6,0.0025,100001
0.025,0.0025,0.032,-0.9,0.99,0,0,6,0.0025,100001
0.025,0.0025,0.032,-0.5,-0.9,0,1,6,0.0025,223
0.025,0.0025,0.032,-0.5,-0.5,0,1,5,0.00181371,212
0.025,0.0025,0.032,-0.5,0,0,1,5,0.00248296,230
0.025,0.0025,0.032,-0.5,0.5,0,1,5,0.00249643,378
0.025,0.0025,0.032,-0.5,0.9,0,0,6,0.0025,100001
0.025,0.0025,0.032,-0.5,0.99,0,0,6,0.0025,100001
0.025,0.0025,0.032,0,-0.9,0,1,6,0.0025,307
0.025,0.0025,0.032,0,-0.5,0,1,5,0.00211416,247
0.025,0.0025,0.032,0,0,0,1,5,0.00248214,229
0.025,0.0025,0.032,0,0.5,0,1,5,0.00249659,438
0.025,0.0025,0.032,0,0.9,0,0,6,0.0025,100001
0.025,0.0025,0.032,0,0.99,0,0,6,0.0025,100001
0.025,0.0025,0.032,0.5,-0.9,0,1,6,0.0025,365
0.025,0.0025,0.032,0.5,-0.5,0,1,5,0.0025,273
0.025,0.0025,0.032,0.5,0,0,1,5,0.00248157,296
0.025,0.0025,0.032,0.5,0.5,0,1,5,0.0024966,454
0.025,0.0025,0.032,0.5,0.9,0,0,6,0.0025,100001
0.025,0.0025,0.032,0.5,0.99,0,0,6,0.0025,100001
0.025,0.0025,0.032,0.9,-0.9,0,1,6,0.0025,386
0.025,0.0025,0.032,0.9,-0.5,0,1,5,0.0025,615
0.025,0.0025,0.032,0.9,0,0,1,5,0.0025,1179
0.025,0.0025,0.032,0.9,0.5,0,1,5,0.0025,687
0.025,0.0025,0.032,0.9,0.9,0,1,6,0.0025,200
0.025,0.0025,0.032,0.9,0.99,0,1,8,0.0025,200
0.025,0.0025,0.032,0.99,-0.9,0,1,6,0.0025,567
0.025,0.0025,0.032,0.99,-0.5,0,0,6,0.0025,100001
0.025,0.0025,0.032,0.99,0,0,0,6,0.0025,100001
0.025,0.0025,0.032,0.99,0.5,0,0,6,0.0025,100001
0.025,0.0025,0.032,0.99,0.9,0,0,6,0.0025,100001
0.025,0.0025,0.032,0.99,0.99,0,1,8,0.0025,200
0.01,0.001,0.0128,-0.9,-0.9,0,1,6,0.000744231,200
0.01,0.001,0.0128,-0.9,-0.5,0,1,5,0.000990249,325
0.01,0.001,0.0128,-0.9,0,0,1,5,0.0009979,416
0.01,0.001,0.0128,-0.9,0.5,0,1,5,0.000995803,398
0.01,0.001,0.0128,-0.9,0.9,0,0,6,0.001,100001
0.01,0.001,0.0128,-0.9,0.99,0,0,6,0.001,100001
0.01,0.001,0.0128,-0.5,-0.9,0,1,6,0.001,216
0.01,0.001,0.0128,-0.5,-0.5,0,1,5,0.000989418,210
0.01,0.001,0.0128,-0.5,0,0,1,5,0.000997779,229
0.01,0.001,0.0128,-0.5,0.5,0,1,5,0.000999507,378
0.01,0.001,0.0128,-0.5,0.9,0,0,6,0.001,100001
0.01,0.001,0.0128,-0.5,0.99,0,0,6,0.001,100001
0.01,0.001,0.0128,0,-0.9,0,1,6,0.001,292
0.01,0.001,0.0128,0,-0.5,0,1,5,0.000990056,243
0.01,0.001,0.0128,0,0,0,1,5,0.000997686,226
0.01,0.001,0.0128,0,0.5,0,1,5,0.000999526,439
0.01,0.001,0.0128,0,0.9,0,0,6,0.001,100001
0.01,0.001,0.0128,0,0.99,0,0,6,0.001,100001
0.01,0.001,0.0128,0.5,-0.9,0,1,6,0.001,349
0.01,0.001,0.0128,0.5,-0.5,0,1,5,0.001,270
0.01,0.001,0.0128,0.5,0,0,1,5,0.000997663,289
0.01,0.001,0.0128,0.5,0.5,0,1,5,0.000999523,447
0.01,0.001,0.0128,0.5,0.9,0,0,6,0.001,100001
0.01,0.001,0.0128,0.5,0.99,0,0,6,0.001,100001
0.01,0.001,0.0128,0.9,-0.9,0,1,6,0.001,373
0.01,0.001,0.0128,0.9,-0.5,0,1,5,0.001,605
0.01,0.001,0.0128,0.9,0,0,1,5,0.001,1086
0.01,0.001,0.0128,0.9,0.5,0,1,5,0.001,620
0.01,0.001,0.0128,0.9,0.9,0,1,6,0.001,200
0.01,0.001,0.0128,0.9,0.99,0,1,9,0.001,200
0.01,0.001,0.0128,0.99,-0.9,0,1,6,0.001,569
0.01,0.001,0.0128,0.99,-0.5,0,0,6,0.001,100001
0.01,0.001,0.0128,0.99,0,0,0,6,0.001,100001
0.01,0.001,0.0128,0.99,0.5,0,0,6,0.001,100001
0.01,0.001,0.0128,0.99,0.9,0,1,6,0.001,2367
0.01,0.001,0.0128,0.99,0.99,0,1,8,0.001,200
0.005,0.0005,0.0064,-0.9,-0.9,0,1,6,0.000389518,200
0.005,0.0005,0.0064,-0.9,-0.5,0,1,5,0.000498012,323
0.005,0.0005,0.0064,-0.9,0,0,1,5,0.000499538,416
