x,rho,P,vx,By
-0.49875,1,0.05,0,1
-0.49625,1,0.05,0,1
-0.49375,1,0.05,0,1
-0.49125,1,0.05,0,1
-0.48875,1,0.05,0,1
-0.48625,1,0.05,0,1
-0.48375,1,0.05,0,1
-0.48125,1,0.05,0,1
-0.47875,1,0.05,0,1
-0.47625,1,0.05,0,1
-0.47375,1,0.05,0,1
-0.47125,1,0.05,0,1
-0.46875,1,0.05,0,1
-0.46625,1,0.05,0,1
-0.46375,1,0.05,0,1
-0.46125,1,0.05,0,1
-0.45875,1,0.05,-9.15947e-18,1
-0.45625,1,0.05,-3.42752e-17,1
-0.45375,1,0.05,-2.52092e-17,1
-0.45125,1,0.05,-2.5208e-17,1
-0.44875,1,0.05,-2.52078e-17,1
-0.44625,1,0.05,-2.51969e-17,1
-0.44375,1,0.05,-2.51902e-17,1
-0.44125,1,0.05,-2.51843e-17,1
-0.43875,1,0.05,-2.51794e-17,1
-0.43625,1,0.05,-2.51752e-17,1
-0.43375,1,0.05,-2.5172e-17,1
-0.43125,1,0.05,-2.51697e-17,1
-0.42875,1,0.05,-2.51683e-17,1
-0.42625,1,0.05,-2.51622e-17,1
-0.42375,1,0.05,-2.51527e-17,1
-0.42125,1,0.05,-2.51459e-17,1
-0.41875,1,0.05,-2.51399e-17,1
-0.41625,1,0.05,-2.51347e-17,1
-0.41375,1,0.05,-2.51304e-17,1
-0.41125,1,0.05,-2.51269e-17,1
-0.40875,1,0.05,-2.51243e-17,1
-0.40625,1,0.05,-2.51208e-17,1
-0.40375,1,0.05,-2.51093e-17,1
-0.40125,1,0.05,-2.51015e-17,1
-0.39875,1,0.05,-2.50944e-17,1
-0.39625,1,0.05,-2.50882e-17,1
-0.39375,1,0.05,-2.50827e-17,1
-0.39125,1,0.05,-2.50781e-17,1
-0.38875,1,0.05,-2.50742e-17,1
-0.38625,1,0.05,-2.50712e-17,1
-0.38375,1,0.05,-2.50582e-17,1
-0.38125,1,0.05,-2.50494e-17,1
-0.37875,1,0.05,-2.50413e-17,1
-0.37625,1,0.05,-2.50339e-17,1
-0.37375,1,0.05,-2.50272e-17,1
-0.37125,1,0.05,-2.50214e-17,1
-0.36875,1,0.05,-2.50162e-17,1
-0.36625,1,0.05,-2.50114e-17,1
-0.36375,1,0.05,-2.49977e-17,1
-0.36125,1,0.05,-2.49877e-17,1
-0.35875,1,0.05,-2.49784e-17,1
-0.35625,1,0.05,-2.49698e-17,1
-0.35375,1,0.05,-2.49619e-17,1
-0.35125,1,0.05,-2.49547e-17,1
-0.34875,1,0.05,-2.49482e-17,1
-0.34625,1,0.05,-2.49397e-17,1
